Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Default Request,482118,1244,102,3626,4341,8383,1,36238,76.925%,800.16929,1569.20,22.90
Hangfire FireAndForget Request,445784,1350,32,4241,5041,6161,0,11516,75.771%,736.66503,1448.27,26.32
Hangfire Delayed Request,450670,1333,130,4080,4710,8587,1,52802,77.250%,746.60840,1489.61,23.72
Hangfire Recurring Request,502918,1194,54,3950,4475,7207,1,26510,77.468%,833.69610,1660.34,26.60
Hangfire Continuation Request,312479,1925,78,5268,6184,7935,0,25203,68.490%,516.38582,926.23,23.52
TOTAL,2193969,1369,68,4223,4989,7379,0,52802,75.680%,610.73517,1192.29,20.69
