Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Hangfire FireAndForget Request,137606,4382,4077,6237,6741,7242,1,8299,44.180%,226.61937,302.76,18.65
Hangfire Delayed Request,249342,2412,2029,5289,6096,7027,0,60919,66.797%,410.53344,735.86,19.04
Hangfire Recurring Request,534650,1122,35,4082,4796,6210,0,9106,79.662%,886.53394,1813.34,25.53
Hangfire Continuation Request,127978,4714,4080,6532,7041,7671,354,10660,44.597%,210.45136,284.09,16.85
TOTAL,1049576,2294,2072,5309,6121,7132,0,60919,67.678%,307.35037,555.54,14.21
